State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
CO,Durango,81301,37.4989744,-107.5769734,75130,300000,42263,239.019418694331
CO,Fort Collins,80521,40.5821488,-105.0896763,81259,77786,54912,223.487373700905
CO,Fort Collins,80525,40.5600799,-105.0505446,94740,300000,69923,195.690773078503
CO,Fort Collins,80524,40.5102663,-105.0521344,124944,121375,70932,107.990578712722
CO,Fort Collins,80526,40.5444283,-105.0893678,59839,300000,40835,454.955011787105
CO,La Porte,80535,40.6509308,-105.1260354,58870,48409,47257,173.059416197959
CO,Loveland,80538,40.4167622,-105.0557281,54121,50964,36580,67.7296825192948
CO,Wellington,80549,40.7103073,-105.0033813,103671,300000,62922,247.417585048437
CO,Berthoud,80513,40.3077822,-105.0792047,90870,89717,59228,335.414524185344
CO,Aguilar,81020,37.3139872,-104.7239281,55886,38235,46317,404.486254390776
CO,Trinidad,81082,37.0735133,-104.4810708,42887,34058,43090,193.822785373889
CO,Denver,80209,39.7038284,-104.9839316,84194,64404,66329,815.756226990957
CO,Hugo,80821,38.9629061,-103.530972,56797,43591,46468,313.253280909759
CO,Sterling,80751,40.6657424,-103.1642145,33541,20213,32821,382.416260473416
CO,Grand Junction,81503,39.0431113,-108.5492039,67768,300000,65478,307.99479169859
CO,Fruita,81521,39.1559157,-108.7231294,76130,73485,43347,612.772283000664
CO,Maybell,81640,40.661904,-108.204535,66886,56134,48286,171.126358110545
CO,Montrose,81402,38.5946302,-107.7398148,52367,34161,48844,360.058942785466
CO,Wiggins,80654,40.1694906,-104.0293307,55795,44981,38433,292.657558631691
CO,Brush,80723,40.1541924,-103.6512305,71530,57219,60621,191.590638985038
CO,La Junta,81050,37.9744879,-103.5931653,57527,44838,49348,269.888507336107
CO,Holyoke,80734,40.5902559,-102.2201088,59178,55759,37787,152.559785682863
CO,Aspen,81611,39.1981447,-106.8071229,80365,62911,58239,329.985715642514
CO,Lamar,81052,38.0742373,-102.6182675,32516,300000,21579,232.9996799872
CO,Pueblo,81008,38.3050168,-104.6332234,81201,39587,81217,191.895482307963
CO,Pueblo,81003,38.2953445,-104.6109375,49319,300000,30631,191.1604906359
CO,Rangely,81648,39.9402205,-108.6653685,84145,82317,53444,175.517531385999
CO,Telluride,81435,37.9622397,-107.994517,83514,300000,69856,283.790833717702
CO,Breckenridge,80424,39.4501153,-106.0646156,82784,62896,59591,108.162819847901
CO,Woodland Park,80866,39.0157629,-105.0569839,72114,60785,42662,240.456151446486
