,Name,Type,Address,Zip Code
13657,"(""McDonald's"",)",hotdogs,1912EHiggins,60007
13658,"('Burger King',)",hotdogs,675ERandRd,60004
13659,"('Dairy Queen',)",icecream,1293NRandRd,60004
13660,"(""Jameson's Charhouse"",)",steak,1702WAlgonquinRd,60056
13661,"('Eggsperience Cafè',)",breakfast_brunch,176ERandhurstVillageDr,60056
13662,"('El Fast Burrito',)",mexican,1165LeeSt,60016
13663,"(""McDonald's"",)",hotdogs,1101OaktonSt,60018
13664,"(""Gail's Carriage Inn"",)",breakfast_brunch,1145ElmhurstRd,60016
13665,"('Panda Express',)",chinese,122HawthornCenterDr,60061
13666,"(""Jimmy John's"",)",sandwiches,325NorthMilwaukeeAve,60061
13667,"('KFC',)",hotdogs,700NMilwaukeeAve,60061
13668,"(""Wendy's"",)",burgers,300WHalfDayRoad,60089
13669,"('Noodles & Company',)",noodles,700NMilwaukeeAve,60061
13670,"(""Bo-Bo's Gyros"",)",greek,280HawthornVillageCommons,60061
13671,"('Panera Bread',)",soup,1575SouthLakeStreet,60060
13672,"('Panda Express',)",chinese,252ETownlineRd,60061
13673,"('Charleys Cheesesteaks',)",sandwiches,904HawthornCtr,60061
13674,"(""McDonald's"",)",hotdogs,450MilwaukeeAve,60069
13675,"('Surf’s Up Mundelein',)",seafood,404NLakeSt,60060
13676,"('Dairy Queen',)",icecream,119TownLineRd,60061
13677,"(""McDonald's"",)",hotdogs,450TownLineRd,60060
13678,"(""Jimmy John's"",)",sandwiches,684SLakeSt,60060
13679,"(""Bill's Pizza & Pub"",)",pizza,624SLakeSt,60060
13680,"('Buffalo Wild Wings',)",tradamerican,361WestTownLineRd,60061
13681,"('City Works - Vernon Hills',)",tradamerican,929NMilwaukeeAve,60061
13682,"('Olive Garden Italian Restaurant',)",italian,701NMilwaukeeAve,60061
13683,"(""McDonald's"",)",hotdogs,151NLakeSt,60060
13684,"('Burger King',)",burgers,1520SLakeSt,60060
13685,"(""Uncle Julio's"",)",mexican,850NMilwaukeeAve,60061
13686,"(""Mauri's Family Restaurant Mundelein"",)",breakfast_brunch,510EHawleySt,60060
13687,"('Einstein Bros. Bagels',)",bagels,185MilwaukeeAve,60069
13688,"(""Taco's El Norte"",)",mexican,822SLakeSt,60060
13689,"('Tropical Smoothie Cafe',)",juicebars,518TownlineRd,60060
13690,"(""McDonald's"",)",hotdogs,909HawthornCenterMall,60061
13691,"('Pizza Hut',)",pizza,707SouthLakeSt,60060
13692,"('Chipotle Mexican Grill',)",mexican,520TownlineRd,60060
13693,"('Tacos El Rey De Oro',)",mexican,864SMilwaukeeAve,60048
13694,"('Dairy Queen',)",icecream,502SMilwaukeeAve,60048
13695,"('The Liberty Restaurant',)",diners,419SMilwaukeeAve,60048
13696,"('Dairy Dream Drive-In',)",icecream,1229WParkAve,60048
13697,"('Azteca Restaurant',)",mexican,346NSeymourAve,60060
13698,"('Brew Lobby Restaurant & Bar',)",tradamerican,10MarriottDr,60069
13699,"('Chipotle Mexican Grill',)",mexican,2341WillowRd,60025
13700,"(""McAlister's Deli"",)",delis,663LakeCookRd,60015
13701,"('Cosi',)",hotdogs,2100PatriotBlvd,60026
13702,"(""Jersey Mike's Subs"",)",delis,190WaukeganRd,60015
13703,"('Panda Express',)",chinese,2145WillowRoad,60025
13704,"(""P.J.'s Moon Doggies"",)",greek,1702MilwaukeeAve,60025
13705,"('Panera Bread',)",sandwiches,385LakeCookRoad,60015
13706,"('Buffalo Wild Wings',)",chicken_wings,1018WillowRd,60062
13707,"('Potbelly Sandwich Shop',)",sandwiches,1840TowerDr,60026
13708,"(""Max's Delicatessen & Restaurant"",)",delis,191SkokieValleyRd,60035
13709,"('Chipotle Mexican Grill',)",hotdogs,3846WillowRd,60062
13710,"(""Jersey Mike's Subs"",)",hotdogs,190WaukeganRd,60015
13711,"('Dairy Queen',)",icecream,2770DundeeRd,60062
13712,"(""Brown's Chicken & Pasta"",)",italian,3147DundeeRd,60062
13713,"(""Jimmy John's"",)",sandwiches,601LakeCookRd,60015
13714,"('Tropical Smoothie Cafe',)",juicebars,190WaukeganRd,60015
13715,"(""Grandpa's Place"",)",tradamerican,1868PrairieSt,60025
13716,"('Potbelly Sandwich Shop',)",sandwiches,984WillowRd,60062
13717,"(""Mario's Pizza"",)",pizza,2677ShermerRd,60062
13718,"('House 406',)",tradamerican,114312ChurchSt,60062
13719,"('North Branch Pizza & Burger Company',)",burgers,4520WLakeAve,60026
13720,"('Egg Harbor Café',)",breakfast_brunch,TheGlenGatewayShops,60025
13721,"(""Jimmy John's"",)",delis,332SkokieValleyRd,60035
13722,"('Little Caesars Pizza',)",pizza,3248GlenviewRoad,60025
13723,"('Wildfire',)",tradamerican,1300PatriotBlvd,60026
13724,"(""Demetri's Greek Restaurant"",)",greek,660LakeCookRd,60015
13725,"(""Elly's Pancake House"",)",breakfast_brunch,1624MilwaukeeAve,60025
13726,"(""Domino's Pizza"",)",pizza,1022WaukeganRd,60062
13727,"('El Pollo Rico',)",mexican,2227BelvidereRd,60085
13728,"('Panera Bread',)",sandwiches,305WaukeganRoad,60044
13729,"('Chipotle Mexican Grill',)",mexican,940SWaukeganRd,60085
13730,"(""McDonald's"",)",burgers,2211GreenbayRd,60064
13731,"(""Jimmy John's"",)",sandwiches,701RocklandRd,60044
13732,"('Buffalo Wild Wings',)",tradamerican,3961FountainSquarePl,60085
13733,"('Epicenter',)",bars,2398PaulJonesSt,60088
13734,"('Pizza Hut',)",pizza,2800WBelvidereRd,60085
13735,"(""Wendy's"",)",hotdogs,3101Belvedere,60085
13736,"('Subway',)",sandwiches,2302GreenBayRd,60064
13737,"(""McDonald's"",)",burgers,3900FountainSquarePl,60085
13738,"('Taco Bell',)",hotdogs,540CluveriusAve,60088
13739,"('Donati’s Pizza',)",pizza,205SWaukeganRd,60044
13740,"(""McDonald's"",)",burgers,304NSheridanRd,60085
13741,"('Subway',)",hotdogs,3452GreenBayRd,60088
13742,"(""McDonald's"",)",hotdogs,3249BelvidereRd,60085
13743,"('Little Caesars Pizza',)",pizza,557SGreenBayRd,60085
13744,"('Burger King',)",burgers,3140BelvidereRd,60085
13745,"('La Casa De Samuel',)",mexican,120NGeneseeSt,60085
13746,"(""McDonald's"",)",coffee,2601PaulJonesSt,60088
13747,"('El Paraiso',)",mexican,14NMcAreeRd,60085
13748,"(""Wendy's"",)",hotdogs,8309GolfRd,60714
13749,"('Mr Broast',)",burgers,7104MannheimRd,60018
13750,"('Taco Bell',)",hotdogs,7535NHarlemAve,60714
13751,"('Chipotle Mexican Grill',)",mexican,7020MannheimRd,60018
13752,"(""Goodi's"",)",greek,9645NMilwaukeeAve,60714
13753,"('Potbelly Sandwich Shop',)",sandwiches,2695SMannheimRd,60018
13754,"(""Jimmy John's"",)",sandwiches,112SNorthwestHwy,60068
13755,"('Cultura Subs',)",sandwiches,9432WaukeganRd,60053
13756,"('Popeyes Louisiana Kitchen',)",chicken_wings,6939GolfRd,60053
13757,"(""Arby's"",)",hotdogs,7001WDempsterSt,60714
13758,"(""Wendy's"",)",hotdogs,2570Dempster,60016
13759,"('Popeyes Louisiana Kitchen',)",hotdogs,435SouthRiverRd,60016
13760,"(""McAlister's Deli"",)",delis,9465NMilwaukeeAve,60714
13761,"('Joe Donut',)",donuts,6969NMilwaukeeAve,60714
13762,"('Pupuseria Rinconcito Hispano',)",salvadoran,1669EOaktonSt,60018
13763,"(""McDonald's"",)",hotdogs,1032NNorthwestHwy,60068
13764,"('Panda Express',)",chinese,9347NMilwaukeeAve,60714
13765,"(""Brandy's Gyros"",)",greek,6262NHarlemAve,60631
13766,"(""McDonald's"",)",hotdogs,6150NRiverRd,60018
13767,"('Morrison Roadhouse',)",sportsbars,7355NHarlemAve,60714
13768,"('TGI Fridays',)",tradamerican,9651HigginsRd,60018
13769,"('Kickin Burgers & Wings',)",burgers,9196WGolfRd,60714
13770,"('Taco Bell',)",hotdogs,9870NMilwaukee,60016
13771,"('Omega Restaurant & Bakery',)",bakeries,9100WGolfRd,60714
13772,"('Plush Pup',)",tradamerican,5344NCumberlandAve,60656
13773,"('Panda Express',)",chinese,7028MannheimRd,60018
13774,"('Taco Burrito King',)",mexican,5509NHarlemAve,60656
13775,"('Dairy Queen',)",icecream,2DevonAve,60068
13776,"('Popeyes Louisiana Kitchen',)",hotdogs,5353HarlemAve,60656
13777,"('Wingstop',)",chicken_wings,8484WGolfRd,60714
13778,"('Chicago Burger',)",burgers,5220FashionOutletsWay,60656
13779,"(""Jimmy John's"",)",sandwiches,7954NWaukeganRd,60714
13780,"('Los Comales Niles',)",mexican,9055NMilwaukeeAve,60714
13781,"('Charleys Cheesesteaks',)",sandwiches,5220FashionOutletsWay,60018
13782,"(""Chili's"",)",tex-mex,7140MannheimRd,60018
13783,"('Cafe El Tapatio',)",mexican,9707NMilwaukeeAve,60025
13784,"('Niles Polish Deli',)",delis,8705NMilwaukeeAve,60714
13785,"('Las Asadas Fresh Mexican Grill & Taqueria',)",mexican,356LeeSt,60016
